# file...... output/IEEE_123_feeder_0_climate.csv
# date...... Thu Dec 13 16:22:36 2018
# user...... mukh614
# host...... (null)
# target.... climate 2
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,temperature,humidity
2013-08-28 00:00:00 PST,+91.042,+0.3
2013-08-28 00:01:00 PST,+90.9659,+0.300994
2013-08-28 00:02:00 PST,+90.8907,+0.301978
2013-08-28 00:03:00 PST,+90.8163,+0.30295
2013-08-28 00:04:00 PST,+90.7428,+0.303911
2013-08-28 00:05:00 PST,+90.6701,+0.304861
2013-08-28 00:06:00 PST,+90.5983,+0.3058
2013-08-28 00:07:00 PST,+90.5273,+0.306728
2013-08-28 00:08:00 PST,+90.4572,+0.307644
2013-08-28 00:09:00 PST,+90.3879,+0.30855
2013-08-28 00:10:00 PST,+90.3195,+0.309444
2013-08-28 00:11:00 PST,+90.2519,+0.310328
2013-08-28 00:12:00 PST,+90.1852,+0.3112
2013-08-28 00:13:00 PST,+90.1193,+0.312061
2013-08-28 00:14:00 PST,+90.0543,+0.312911
2013-08-28 00:15:00 PST,+89.9901,+0.31375
2013-08-28 00:16:00 PST,+89.9268,+0.314578
2013-08-28 00:17:00 PST,+89.8643,+0.315394
2013-08-28 00:18:00 PST,+89.8027,+0.3162
2013-08-28 00:19:00 PST,+89.7419,+0.316994
2013-08-28 00:20:00 PST,+89.682,+0.317778
2013-08-28 00:21:00 PST,+89.6229,+0.31855
2013-08-28 00:22:00 PST,+89.5647,+0.319311
2013-08-28 00:23:00 PST,+89.5073,+0.320061
2013-08-28 00:24:00 PST,+89.4508,+0.3208
2013-08-28 00:25:00 PST,+89.3951,+0.321528
2013-08-28 00:26:00 PST,+89.3403,+0.322244
2013-08-28 00:27:00 PST,+89.2863,+0.32295
2013-08-28 00:28:00 PST,+89.2332,+0.323644
2013-08-28 00:29:00 PST,+89.1809,+0.324328
2013-08-28 00:30:00 PST,+89.1295,+0.325
2013-08-28 00:31:00 PST,+89.0789,+0.325661
2013-08-28 00:32:00 PST,+89.0292,+0.326311
2013-08-28 00:33:00 PST,+88.9803,+0.32695
2013-08-28 00:34:00 PST,+88.9323,+0.327578
2013-08-28 00:35:00 PST,+88.8851,+0.328194
2013-08-28 00:36:00 PST,+88.8388,+0.3288
2013-08-28 00:37:00 PST,+88.7933,+0.329394
2013-08-28 00:38:00 PST,+88.7487,+0.329978
2013-08-28 00:39:00 PST,+88.7049,+0.33055
2013-08-28 00:40:00 PST,+88.662,+0.331111
2013-08-28 00:41:00 PST,+88.6199,+0.331661
2013-08-28 00:42:00 PST,+88.5787,+0.3322
2013-08-28 00:43:00 PST,+88.5383,+0.332728
2013-08-28 00:44:00 PST,+88.4988,+0.333244
2013-08-28 00:45:00 PST,+88.4601,+0.33375
2013-08-28 00:46:00 PST,+88.4223,+0.334244
2013-08-28 00:47:00 PST,+88.3853,+0.334728
2013-08-28 00:48:00 PST,+88.3492,+0.3352
2013-08-28 00:49:00 PST,+88.3139,+0.335661
2013-08-28 00:50:00 PST,+88.2795,+0.336111
2013-08-28 00:51:00 PST,+88.2459,+0.33655
2013-08-28 00:52:00 PST,+88.2132,+0.336978
2013-08-28 00:53:00 PST,+88.1813,+0.337394
2013-08-28 00:54:00 PST,+88.1503,+0.3378
2013-08-28 00:55:00 PST,+88.1201,+0.338194
2013-08-28 00:56:00 PST,+88.0908,+0.338578
2013-08-28 00:57:00 PST,+88.0623,+0.33895
2013-08-28 00:58:00 PST,+88.0347,+0.339311
2013-08-28 00:59:00 PST,+88.0079,+0.339661
2013-08-28 01:00:00 PST,+87.982,+0.34
2013-08-28 01:01:00 PST,+88.0144,+0.339508
2013-08-28 01:02:00 PST,+88.0458,+0.339033
2013-08-28 01:03:00 PST,+88.076,+0.338575
2013-08-28 01:04:00 PST,+88.1052,+0.338133
2013-08-28 01:05:00 PST,+88.1332,+0.337708
2013-08-28 01:06:00 PST,+88.1602,+0.3373
2013-08-28 01:07:00 PST,+88.186,+0.336908
2013-08-28 01:08:00 PST,+88.2108,+0.336533
2013-08-28 01:09:00 PST,+88.2344,+0.336175
2013-08-28 01:10:00 PST,+88.257,+0.335833
2013-08-28 01:11:00 PST,+88.2784,+0.335508
2013-08-28 01:12:00 PST,+88.2988,+0.3352
2013-08-28 01:13:00 PST,+88.318,+0.334908
2013-08-28 01:14:00 PST,+88.3362,+0.334633
2013-08-28 01:15:00 PST,+88.3532,+0.334375
2013-08-28 01:16:00 PST,+88.3692,+0.334133
2013-08-28 01:17:00 PST,+88.384,+0.333908
2013-08-28 01:18:00 PST,+88.3978,+0.3337
2013-08-28 01:19:00 PST,+88.4104,+0.333508
2013-08-28 01:20:00 PST,+88.422,+0.333333
2013-08-28 01:21:00 PST,+88.4324,+0.333175
2013-08-28 01:22:00 PST,+88.4418,+0.333033
2013-08-28 01:23:00 PST,+88.45,+0.332908
2013-08-28 01:24:00 PST,+88.4572,+0.3328
2013-08-28 01:25:00 PST,+88.4632,+0.332708
2013-08-28 01:26:00 PST,+88.4682,+0.332633
2013-08-28 01:27:00 PST,+88.472,+0.332575
2013-08-28 01:28:00 PST,+88.4748,+0.332533
2013-08-28 01:29:00 PST,+88.4764,+0.332508
2013-08-28 01:30:00 PST,+88.477,+0.3325
2013-08-28 01:31:00 PST,+88.4764,+0.332508
2013-08-28 01:32:00 PST,+88.4748,+0.332533
2013-08-28 01:33:00 PST,+88.472,+0.332575
2013-08-28 01:34:00 PST,+88.4682,+0.332633
2013-08-28 01:35:00 PST,+88.4632,+0.332708
2013-08-28 01:36:00 PST,+88.4572,+0.3328
2013-08-28 01:37:00 PST,+88.45,+0.332908
2013-08-28 01:38:00 PST,+88.4418,+0.333033
2013-08-28 01:39:00 PST,+88.4324,+0.333175
2013-08-28 01:40:00 PST,+88.422,+0.333333
2013-08-28 01:41:00 PST,+88.4104,+0.333508
2013-08-28 01:42:00 PST,+88.3978,+0.3337
2013-08-28 01:43:00 PST,+88.384,+0.333908
2013-08-28 01:44:00 PST,+88.3692,+0.334133
2013-08-28 01:45:00 PST,+88.3532,+0.334375
2013-08-28 01:46:00 PST,+88.3362,+0.334633
2013-08-28 01:47:00 PST,+88.318,+0.334908
2013-08-28 01:48:00 PST,+88.2988,+0.3352
2013-08-28 01:49:00 PST,+88.2784,+0.335508
2013-08-28 01:50:00 PST,+88.257,+0.335833
2013-08-28 01:51:00 PST,+88.2344,+0.336175
2013-08-28 01:52:00 PST,+88.2108,+0.336533
2013-08-28 01:53:00 PST,+88.186,+0.336908
2013-08-28 01:54:00 PST,+88.1602,+0.3373
2013-08-28 01:55:00 PST,+88.1332,+0.337708
2013-08-28 01:56:00 PST,+88.1052,+0.338133
2013-08-28 01:57:00 PST,+88.076,+0.338575
2013-08-28 01:58:00 PST,+88.0458,+0.339033
2013-08-28 01:59:00 PST,+88.0144,+0.339508
2013-08-28 02:00:00 PST,+87.982,+0.34
2013-08-28 02:01:00 PST,+87.8924,+0.34141
2013-08-28 02:02:00 PST,+87.8036,+0.342806
2013-08-28 02:03:00 PST,+87.7156,+0.344188
2013-08-28 02:04:00 PST,+87.6284,+0.345556
2013-08-28 02:05:00 PST,+87.542,+0.34691
2013-08-28 02:06:00 PST,+87.4564,+0.34825
2013-08-28 02:07:00 PST,+87.3716,+0.349576
2013-08-28 02:08:00 PST,+87.2876,+0.350889
2013-08-28 02:09:00 PST,+87.2044,+0.352187
2013-08-28 02:10:00 PST,+87.122,+0.353472
2013-08-28 02:11:00 PST,+87.0404,+0.354743
2013-08-28 02:12:00 PST,+86.9596,+0.356
2013-08-28 02:13:00 PST,+86.8796,+0.357243
2013-08-28 02:14:00 PST,+86.8004,+0.358472
2013-08-28 02:15:00 PST,+86.722,+0.359688
2013-08-28 02:16:00 PST,+86.6444,+0.360889
2013-08-28 02:17:00 PST,+86.5676,+0.362076
2013-08-28 02:18:00 PST,+86.4916,+0.36325
2013-08-28 02:19:00 PST,+86.4164,+0.36441
2013-08-28 02:20:00 PST,+86.342,+0.365556
2013-08-28 02:21:00 PST,+86.2684,+0.366688
2013-08-28 02:22:00 PST,+86.1956,+0.367806
2013-08-28 02:23:00 PST,+86.1236,+0.36891
2013-08-28 02:24:00 PST,+86.0524,+0.37
2013-08-28 02:25:00 PST,+85.982,+0.371076
2013-08-28 02:26:00 PST,+85.9124,+0.372139
2013-08-28 02:27:00 PST,+85.8436,+0.373187
2013-08-28 02:28:00 PST,+85.7756,+0.374222
2013-08-28 02:29:00 PST,+85.7084,+0.375243
2013-08-28 02:30:00 PST,+85.642,+0.37625
2013-08-28 02:31:00 PST,+85.5764,+0.377243
2013-08-28 02:32:00 PST,+85.5116,+0.378222
2013-08-28 02:33:00 PST,+85.4476,+0.379188
2013-08-28 02:34:00 PST,+85.3844,+0.380139
2013-08-28 02:35:00 PST,+85.322,+0.381076
2013-08-28 02:36:00 PST,+85.2604,+0.382
2013-08-28 02:37:00 PST,+85.1996,+0.38291
2013-08-28 02:38:00 PST,+85.1396,+0.383806
2013-08-28 02:39:00 PST,+85.0804,+0.384687
2013-08-28 02:40:00 PST,+85.022,+0.385556
2013-08-28 02:41:00 PST,+84.9644,+0.38641
2013-08-28 02:42:00 PST,+84.9076,+0.38725
2013-08-28 02:43:00 PST,+84.8516,+0.388076
2013-08-28 02:44:00 PST,+84.7964,+0.388889
2013-08-28 02:45:00 PST,+84.742,+0.389688
2013-08-28 02:46:00 PST,+84.6884,+0.390472
2013-08-28 02:47:00 PST,+84.6356,+0.391243
2013-08-28 02:48:00 PST,+84.5836,+0.392
2013-08-28 02:49:00 PST,+84.5324,+0.392743
2013-08-28 02:50:00 PST,+84.482,+0.393472
2013-08-28 02:51:00 PST,+84.4324,+0.394188
2013-08-28 02:52:00 PST,+84.3836,+0.394889
2013-08-28 02:53:00 PST,+84.3356,+0.395576
2013-08-28 02:54:00 PST,+84.2884,+0.39625
2013-08-28 02:55:00 PST,+84.242,+0.39691
2013-08-28 02:56:00 PST,+84.1964,+0.397556
2013-08-28 02:57:00 PST,+84.1516,+0.398187
2013-08-28 02:58:00 PST,+84.1076,+0.398806
2013-08-28 02:59:00 PST,+84.0644,+0.39941
2013-08-28 03:00:00 PST,+84.022,+0.4
2013-08-28 03:01:00 PST,+84.0114,+0.400003
